id,DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,Captura.ca,Riqueza.es,Abu.rrhh,Ap.suelo,Minero,Piscicol,Turismo,Agro.inten,Agro.exten,Agrosilvo,Ap.fores,Uso.limit,R.actv.prd,Acc.agua,Acc.salud,Acc.edu,Acc.vivien,Acc.EE,Clasificac,porc_i.CSV,longitude,latitude
139,Cochabamba,Quillacollo,Sipe Sipe,30902,4,45,13,74,14,39,0,64,4,76,2,0,0,41,32,38,33,46,Muy Alto,53,-66.354,-17.454
140,Cochabamba,Quillacollo,Tiquipaya,30903,4,44,33,72,5,38,0,37,2,1,4,0,0,42,30,35,29,39,Bajo,34,-66.220,-17.338
141,Cochabamba,Quillacollo,Vinto,30904,4,35,32,70,3,38,0,65,2,2,1,0,0,40,34,36,24,45,Medio,39,-66.316,-17.382
142,Cochabamba,Quillacollo,Colcapirhua,30905,6,62,19,61,14,0,0,72,9,8,3,0,0,26,22,23,24,20,Bajo,36,-66.241,-17.390
143,Cochabamba,Chapare,Sacaba,31001,15,53,36,76,7,58,27,0,1,0,9,0,0,46,34,38,30,45,Medio,39,-66.039,-17.402
144,Cochabamba,Chapare,Colomi,31002,28,61,33,64,14,66,0,0,0,2,11,0,13,41,29,37,29,46,Bajo,36,-65.868,-17.338
145,Cochabamba,Chapare,Villa Tunari,31003,14,39,33,63,22,73,52,26,24,12,18,0,11,42,33,37,30,42,Muy Alto,58,-65.420,-16.973
146,Cochabamba,Tapacari,Tapacarí,31101,4,45,13,67,37,38,0,46,5,5,4,0,14,43,32,37,29,44,Medio,41,-66.616,-17.521
147,Cochabamba,Carrasco,Totora,31201,15,43,16,74,13,38,52,0,2,1,11,0,13,42,33,37,31,42,Medio,40,-65.191,-17.737
148,Cochabamba,Carrasco,Pojo,31202,21,55,20,60,8,38,17,8,1,37,12,21,11,43,27,37,30,45,Medio,43,-64.866,-17.758
149,Cochabamba,Carrasco,Pocona,31203,10,55,40,59,8,0,26,15,3,11,3,0,13,42,31,36,28,44,Bajo,35,-65.420,-17.675
150,Cochabamba,Carrasco,Chimoré,31204,27,62,50,61,24,73,64,8,0,0,18,37,11,42,37,39,31,47,Muy Alto,62,-65.151,-16.994
151,Cochabamba,Carrasco,Puerto Villarroel,31205,20,54,25,60,15,66,52,16,1,2,16,0,12,44,35,38,28,46,Alto,50,-64.793,-16.839
152,Cochabamba,Carrasco,Bulo Bulo,31206,29,65,39,60,16,66,17,8,4,5,19,21,17,39,36,37,28,43,Alto,48,-64.348,-17.260
153,Cochabamba,Mizque,Mizque,31301,9,58,18,64,50,37,52,6,5,17,4,0,10,42,36,38,29,46,Alto,50,-65.343,-17.943
154,Cochabamba,Mizque,Vila Vila,31302,4,40,7,48,4,0,52,9,1,0,1,0,6,42,30,35,25,44,Muy Bajo,29,-65.632,-17.982
155,Cochabamba,Mizque,Alalay,31303,5,69,42,73,18,0,0,2,0,12,4,0,0,37,29,34,26,46,Muy Bajo,28,-65.699,-17.701
156,Cochabamba,Punata,Punata,31401,5,54,19,66,7,0,0,11,1,7,2,0,0,36,28,33,27,41,Muy Bajo,23,-65.838,-17.546
157,Cochabamba,Punata,Villa Rivero,31402,3,40,10,66,4,0,0,20,2,0,2,0,0,40,26,33,33,33,Muy Bajo,20,-65.813,-17.616
158,Cochabamba,Punata,San Benito,31403,4,52,18,68,7,37,0,0,51,17,3,0,0,42,32,39,37,45,Bajo,36,-65.894,-17.523
159,Cochabamba,Punata,Tacachi,31404,3,45,11,60,5,0,0,12,25,0,1,0,0,31,23,31,29,39,Muy Bajo,22,-65.801,-17.642
160,Cochabamba,Punata,Cuchumuela,31405,4,60,29,65,13,0,0,10,0,13,2,0,0,36,25,33,28,42,Muy Bajo,26,-65.796,-17.666
161,Cochabamba,Bolivar,Bolivar,31501,5,66,39,52,39,37,17,0,0,4,2,0,14,44,35,39,34,44,Medio,38,-66.537,-17.970
162,Cochabamba,Tiraque,Tiraque,31601,16,44,33,74,14,58,17,0,0,0,11,0,13,44,36,39,29,46,Medio,37,-65.724,-17.427
163,Cochabamba,Tiraque,Shinahota,31602,15,46,22,60,6,37,52,71,4,3,18,0,14,44,30,37,29,44,Muy Alto,54,-65.245,-16.994
164,Oruro,Cercado,Oruro,40101,5,56,15,58,18,58,16,78,13,22,3,0,12,45,25,33,22,40,Muy Alto,55,-67.112,-17.968
165,Oruro,Cercado,Caracollo,40102,6,64,28,52,55,58,52,0,0,3,3,0,7,44,36,37,24,44,Alto,49,-67.213,-17.643
166,Oruro,Cercado,El Choro,40103,11,60,17,61,22,58,64,52,48,13,2,1,13,52,35,40,29,44,Muy Alto,67,-67.116,-18.357
167,Oruro,Cercado,Paria,40104,5,55,21,62,41,37,0,0,4,1,1,0,7,44,35,38,29,45,Muy Bajo,32,-67.022,-17.817
168,Oruro,Abaroa,Challapata,40201,6,63,26,67,37,58,52,0,0,0,2,0,11,44,34,38,29,44,Alto,47,-66.775,-18.901
169,Oruro,Abaroa,Santuario de Quillacas,40202,3,47,9,60,24,36,70,32,2,59,2,0,8,40,29,36,29,44,Muy Alto,59,-66.942,-19.233
170,Oruro,Carangas,Corque,40301,6,61,23,62,34,58,64,0,0,0,2,0,9,42,34,37,28,46,Alto,48,-67.682,-18.351
171,Oruro,Carangas,Choque Cota,40302,4,62,34,61,14,36,16,0,0,0,3,0,10,42,24,33,27,39,Muy Bajo,32,-67.925,-16.521
172,Oruro,Sajama,Curahuara de Carangas,40401,5,60,55,53,22,36,16,0,4,0,2,0,9,41,26,36,32,46,Bajo,36,-68.410,-17.842
173,Oruro,Sajama,Turco,40402,4,42,26,65,4,36,0,63,3,34,1,0,11,44,28,36,35,36,Alto,44,-68.194,-18.181
174,Oruro,Litoral,Huachacalla,40501,4,59,20,51,11,0,0,16,1,27,2,0,11,28,24,28,27,35,Muy Bajo,27,-68.262,-18.793
175,Oruro,Litoral,Escara,40502,5,60,21,62,21,0,0,0,6,4,2,0,9,43,28,34,25,41,Muy Bajo,24,-68.170,-18.860
176,Oruro,Litoral,Cruz de Machacamarca,40503,6,60,22,59,13,0,0,0,0,0,1,0,9,43,35,36,21,44,Muy Bajo,21,-68.312,-18.771
177,Oruro,Litoral,Yunguyo del Litoral,40504,3,33,6,56,3,0,0,0,0,0,3,0,8,32,25,28,21,35,Muy Bajo,14,-68.321,-18.853
