longitude,latitude,DEPARTAMENTO,PROVINCIA,MUNICIPIO,CODIGO,COD_INE,_COD_INE,Captura.c,Riqueza.e,Abundancia,Aptitud.s,Minero,Piscícol,Turismo,_Agropecua,_Agropec_1,_Agrosilvo,_Aptitud.f,_Uso.limit,_Restricci,_Acceso.se,_Acceso.h2o,_Acceso.ed,_Acceso.vi,_Acceso.en,Clasificac,i_CSV,porc_i.CSV
-60.675,-16.787,Santa Cruz,Velasco,San Rafael,"070303",70303.00000000000,"70303",0.120026945551054,0.494389650449662,0.089701987067527,0.701306818701974,0.059324695142747,0.724334212000000,0.099492670000000,0.090988083416087,0.137161824478404,0.075477916941332,0.105952148036648,0.334036388000000,,0.404839276728421,0.220173024000000,0.324029023325124,0.216930437676530,0.454173354895545,Medio,0.410,"41"
-63.281,-20.445,Santa Cruz,Cordillera,Boyuibe,"070707",70707.00000000000,"70707",0.138204602483828,0.655140963231839,0.086324477605874,0.596291450863324,0.160814069335089,0.304988200000000,,0.069844422376696,0.324805894881454,0.249505603164140,0.031489898085536,,0.194194576000000,0.415610203497971,0.346551633200000,0.368282167431060,0.283664680505387,0.427302152520882,Medio,0.376,"38"
-64.111,-18.091,Santa Cruz,Florida,Pampa Grande,"070902",70902.00000000000,"70902",0.197537246142237,0.553659956655212,0.104617697955507,0.682753478573198,0.080110139225606,0.318798357000000,0.103777787000000,0.259461954371621,0.121837733906398,0.190086282796267,0.108171272787893,0.212929471000000,,0.440423009197180,0.355256103800000,0.377031463781136,0.276496031422876,0.435950710704490,Medio,0.413,"41"
-63.877,-18.179,Santa Cruz,Florida,Samaipata,"070901",70901.00000000000,"70901",0.188374632982443,0.528458873372612,0.095114537061760,0.715329011822614,0.067862235346750,0.318823884000000,0.104165413000000,0.000000000000000,0.000000000000000,0.009228740936058,0.084961479218627,0.283241431000000,0.168843900000000,0.412278559243983,0.368281074200000,0.379480095209416,0.275960850922061,0.461399896471618,Bajo,0.324,"32"
-63.959,-18.121,Santa Cruz,Florida,Mairana,"070903",70903.00000000000,"70903",0.222217647883150,0.578056500437254,0.111585192788030,0.645526691953214,0.099548365394632,0.318531615000000,0.103646639000000,0.000000000000000,0.000000000000000,0.000000000000000,0.096970748489502,0.283241431000000,,0.411568761370670,0.349039846240000,0.371384894185802,0.283809750542701,0.441121218589836,Muy Bajo,0.320,"32"
-64.149,-18.305,Santa Cruz,Valle Grande,Trigal,"070802",70802.00000000000,"70802",0.122251225393392,0.426525943774220,0.075274489156595,0.685153163302409,0.044409877647017,0.324485460000000,,0.000000000000000,0.000000000000000,0.000000000000000,0.086848837969292,,,0.427623039893370,0.256493871166667,0.348239066132543,0.297888659138112,0.410950694332021,Muy Bajo,0.224,"22"
-64.324,-18.366,Santa Cruz,Valle Grande,Moro Moro,"070803",70803.00000000000,"70803",0.099842839075653,0.570184406664915,0.108789014881506,0.742508316828978,0.090212435676092,0.322714237000000,0.104941539000000,0.111499406567322,0.023140030629833,0.028526148969889,0.082742296025059,,,0.423586269770464,0.337997210760000,0.374412973487776,0.296315986234579,0.439752427186059,Muy Bajo,0.310,"31"
-64.584,-18.094,Santa Cruz,Manuel María Caballero,Saipina,"071302",71302.00000000000,"71302",0.062884517958586,0.530110928401436,0.095422975258035,0.648332367023126,0.068112258782126,0.317391159000000,0.102986304000000,0.026715998979331,0.190936006256572,0.050972501676727,0.017587487507731,,,0.407216321690485,0.281367198750000,0.344678468731145,0.221606472387552,0.468523882096543,Muy Bajo,0.292,"29"
-63.948,-18.335,Santa Cruz,Florida,Quirusillas,"070904",70904.00000000000,"70904",0.197201053676534,0.541010303619839,0.097109730475828,0.628142116308170,0.071984966371710,,0.103336009000000,0.009262566981373,0.860102057261047,0.018555779119159,0.080794093028833,0.353553391000000,0.168843078000000,0.438446644103204,0.300894362950000,0.365522162900813,0.258558232991524,0.464189411558526,Medio,0.404,"40"
-62.996,-17.754,Santa Cruz,Andres Ibañez,Cotoca,"070102",70102.00000000000,"70102",0.116329653830922,0.605668437702181,0.174484499746237,0.725044204654304,0.130251841159187,0.646769284000000,0.101433220000000,0.353885480572597,0.036482886939416,0.421196115181462,0.042399265890736,,0.235011379000000,0.368048000591876,0.261774070275000,0.314992837468042,0.268783239829707,0.361366039175585,Muy Alto,0.503,"50"
-64.186,-18.715,Santa Cruz,Valle Grande,Pucará,"070805",70805.00000000000,"70805",0.166018777058623,0.545285049418319,0.099896846459278,0.518439634874829,0.075567442018769,0.551519520000000,0.104392554000000,0.051097360533694,0.000590452241546,0.052112188365651,0.085501360804586,,0.106977281000000,0.400940781483534,0.245647400666667,0.341980868483125,0.263571322308885,0.457763969473414,Muy Bajo,0.320,"32"
-63.382,-17.992,Santa Cruz,Andres Ibañez,El Torno,"070105",70105.00000000000,"70105",0.257689526204692,0.599978784018527,0.121747071049190,0.698647374514978,0.124460730048392,0.307439392000000,0.099707370000000,0.106497147829450,0.011572549019702,0.000519390581717,0.113841253885724,0.283241431000000,0.362816118000000,0.432648497547844,0.286045463550000,0.340997980335403,0.210682412236791,0.434615548006976,Medio,0.375,"37"
-63.179,-17.784,Santa Cruz,Andres Ibañez,Santa Cruz de la Sierra,"070101",70101.00000000000,"70101",0.083578803609388,0.482833606850266,0.117655143273700,0.758717884522168,0.059217638523103,0.701757135000000,0.102301818000000,0.000051966949020,0.000044000042587,0.000299520766773,0.039747889276282,,0.237838966000000,0.372430187924536,0.278432379000000,0.341550486780415,0.287868223010324,0.427471157186799,Bajo,0.332,"33"
